,Text,labels
0,Sourav Kumar RoyChowdhury Comunism is a joke,Non_hope_speech
1,It's not about equality,Non_hope_speech
2,this is so sweet children are smarter than adults a lot of the time,Non_hope_speech
3,TO GOD ALL LIVES MATTER SO DOES THAT MEAN GOD IS A RACIST NOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO SO GUESS WHAT SHUTUPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPPP,Non_hope_speech
4,Unfortunately life dont matter anymore,Non_hope_speech
5,If you put an ounce of thought into both movements you would not have commented this. Of course all lives matter,Non_hope_speech
6,This whole video seems to be nothing but complaining about people awkwardly trying to learn,Non_hope_speech
7,This story is sad,Non_hope_speech
8,+48thRonin And it's actually three more characters you ignorant fuck. If you're gonna try to correct my grammar skills,Non_hope_speech
9,Abdullah AlMamun its really just picking your poison,Non_hope_speech
10,@rickard1200 I'm polish. I grew up in Poland .came to US too late to learn perfect English ..sorry .,Non_hope_speech
11,Greatest crackdown in world history,Non_hope_speech
12,black people need a reflection and white people,Non_hope_speech
13,Joseph stalin shut up,Non_hope_speech
14,“i don’t agree with homosexuality”nit has nothing to do with you. there’s a difference between opinions and discrimination/hate.,Non_hope_speech
15,BobbityBob19 Priti Patel is priti fit,Non_hope_speech
16,The stupid  person bring it on he wood  rather  protests  and die with the virus  when  he gets  sick  hope he dose not  expect  the doctor  and nurses to look after him  prat,Non_hope_speech
17,Plantation politics.  wow!!!,Non_hope_speech
18,OH MY GODnWhat the fuck is this feminist anti-white men crap?nI was subscribed to Wired for bits on tech news and not some SJW shit. I don't need to listen to all this whining and bitching about how all your problems comes from being a gay black Muslim woman and it's all old white's men fault for everything negative in your life. This autistic dhiarea can be only swallowed by regressive cucklords. Fuck you Wired for trying to forcefeed us this regurgitated PC identity politics. Fuck you and good bye.,Non_hope_speech
19,Everybody gangsta until Coronavirus cases skyrocket and people blame the Republicans bc they shredded social distance guidelines,Non_hope_speech
20,+littlemermaid  GO for it!  Show us how it is done!  Your way!,Hope_speech
21,What a great idea. Doing that would solve alot of America's problems.,Non_hope_speech
22,thats enough ava,Non_hope_speech
23,....for a change.,Non_hope_speech
24,@michael bledsoe if i provide an example will you accept it or are you just trying to throw 'gotcha questions' at me hoping I get stumped? and when i provide an example will you accept it or go to another gotcha question until you prove your point? i know how the looney left thinks.....youre not dealing with an idiot here buddy.,Non_hope_speech
25,What a great interview.  Madonna,Non_hope_speech
26,Protest on Sunday's,Non_hope_speech
27,I actually thought she was a boy,Non_hope_speech
28,Antoine AW Far better than Michigan State,Non_hope_speech
29,Totally agree! All Lives matter!,Hope_speech
30,I love this interview so much,Non_hope_speech
31,Pretty sure they're misattributing a good chunk of perceived offences to sexism. People can dislike each other over so many things,Non_hope_speech
32,@JDOT 88 your sick in the head for supporting mass murder,Non_hope_speech
33,Priti Patel sounds like a stuck up caste system racist #$%^,Non_hope_speech
34,Real conversion therapy,Non_hope_speech
35,Sadly slaves were hunted by rival tribes in Africa,Non_hope_speech
36,Why can’t y’all understand when people say black lives matter we aren’t saying only or just black lives. We’re bringing awareness on how black lives are being treated and not mattered. Yes all lives matter but black lives matter as well.,Non_hope_speech
37,I'm a teenage girl who wants to become an engineer. I was talking to a friend recently about why he decided that engineering wasn't for him,Hope_speech
